,,,simplification,multi-word,grouping,replace
18,"super,bowl",Super Bowl,,1,,
18,"colts,jets,giants,patriots",Football Teams,,,1,
18,"Eli,Peyton",Manning,,,1,
19,"great,time",spending,,,1,
19,"editor,voice,speak",opinion,,,1,
19,"people,world,america",culture,,,1,
19,"editor,the editor",Editor,1,,,
19,"Editor[editor, the editor]",To he Editor,,,1,
19,"Editor[editor, the editor]",To The Editor,,,1,
20,"movie,movies,films",theatre,,,1,
20,"film,show,movie,television,series,films,fox,hollywood,movies,viewers,director,producer,comedy,nbc,season,shows",entertainment,,,1,
20,"million,entertainment[film, show, movie, television, series, films, fox, hollywood, movies, viewers, director, producer, comedy, nbc, season, shows]",entertainment,,,1,
20,"film,films",film,1,,,
20,"film[film, films],movie,movies",film,1,,,
20,"movie,film[film, films],movies",movies,1,,,
20,"abc,cbs,pbs,nbc,fox",networks,,,1,
20,"drama,tragedy,comedy",genre,,,1,
20,"ABC's,ABC,networks[abc, cbs, pbs, nbc, fox]",networks,,,1,
20,"CBS,ABC,CW,nbc,fox",channels,,,1,
20,"million,viewers",viewers,,,1,
20,"films,movie,film",Movies,,,1,
20,"shows,show,series",shows,1,,,
22,"online,sites,web,internet",www,,,1,
22,"site,www[online, sites, web, internet]",www,,,1,
22,"company,apple,companies,microsoft",companies,,,1,
22,"software,system","systems, security and software",,1,,
22,"radio,service,music,digital,mail,phone",phone and other services,,,1,
22,"computer,technology",tech,,,1,
22,"phone and other services[radio, service, music, digital, mail, phone],video","phone, media and services",,,1,
22,"internet,web,online",Internet,,,1,
22,"internet,online,site,sites,web",Internet,,,1,
22,"apple,microsoft",company,,,1,
22,"apple,microsoft,company",vendor,,,1,
22,"microsoft,apple,company",Brands,,,1,
22,"microsoft,apple",Brands,,,1,
22,"microsoft,apple",brands,,,1,
22,"apple,microsoft,companies",companies,,,1,
22,"internet,web,online",Online,,,1,
22,"computer,software,system",Computer,,,1,
23,"real,estate",real estate,,1,,
23,"weeks,year",time,,,1,
23,"bathrooms,bedroom",rooms,,,1,
23,"foot,square",size,,,1,
23,"apartment,house,property",living space,,,1,
23,"market,listed",available,,,1,
23,"number,street",location,,,1,
23,"square,foot",size,,,1,
23,"bedroom,bathrooms",rooms,,,1,
23,"street,number",location,,,1,
23,"house,apartment,bedroom,bathrooms,building,square,room,home",Building information,,,1,
23,"real,estate",real estate,,1,,
23,"real,estate",real estate,,1,,
23,"listed,listing",listing,1,,,
23,"square,foot",square foot,,1,,
23,"house,building,estate,bathrooms",property types,,,1,
23,"room,year,bedroom,half",properties of real estate,,,1,
23,"property types[house, building, estate, bathrooms],prewar,postwar",property types,,,1,
23,"real,estate",real estate,,1,,
24,"game,games",games,1,,,
24,"game,games",game/s,1,,,
24,"game,games",game/s,1,,,
24,"thomas,williams",Player,,,1,
24,"knicks,nets",NY NBA Teams,,,1,
24,"players,thomas,williams,player",players,,,1,
25,"government,officials",government,,,1,
25,"iraqi,iraqis,iraq",Iraq,1,,,
25,"army,military,forces,troops,soldiers",military,,,1,
25,"sunni,maliki,shiite,hussein",group,,,1,
25,"iraqis,iraqi,iraq",people in iraq,1,,,
25,"military,soldiers,army,forces,troops",fighters,,,1,
25,"al,shiite,maliki,sunni",Islam branch,,,1,
25,"sunni,troops",war groups,,,1,
26,"new,york",city,,,1,
26,"marriage,married,gay",legal partnerships,,,1,
26,"mother,father,parents,family,marriage,married",Marriages,,,1,
26,"church,pastor",Church,,,1,
26,"Marriages[mother, father, parents, family, marriage, married],daughter",Marriages,,,1,
26,"mother,father,parents",parents,,,1,
26,"baby,child,daughter",children,,,1,
26,"mother,father,baby,children",family,,,1,
26,"men,women,child,daughter",family,,,1,
26,married,marriage,,,,1
26,"church,pastor",Church,,,1,
26,"church,marriage,married",Marriages,,,1,
26,"trump,king",Cards,,,1,
26,"Cards[trump, king],spades",Cards,,,1,
26,"spades,clubs,diamonds,hearts,trump,king",Cards,,,1,
26,"spades,clubs,diamonds,hearts,no-trump,trump,king",Cards,,,1,
27,"drugs,drug",medicine ,,,1,
27,"medical,study",research,,,1,
27,"study,risk,researchers",research,,,1,
27,"research,researchers,study,risk",research,,,1,
28,"green,red,blue,black,white",genre ,,,1,
28,"black,white,blue,red,green",color,,,1,
28,"store,stores,designer",shopping,,,1,
28,"design,glass,space",design ,,,1,
28,"black,white,blue,red,green",Colors,,,1,
28,"black,white,blue,green,red",Colors,,,1,
29,"united,states",united states,,1,,
29,"foreign,nations",foreign nations,,1,,
29,"minister,president,foreign",Politicians,,,1,
29,"minister,president",Politicians,,,1,
29,"minister,president",politicians,,,1,
29,"united,nations",united nations,,1,,
29,"china,russia",countries,,,1,
29,"china,russia",countries,,,1,
29,"china,world,israel,european,israeli,chinese,palestinian,foreign,countries,country",Places ,,,1,
29,"prime minister,minister",prime minister,,1,,
29,,economic,,,,
29,"economic,economy",economy,1,,,
29,"politics,political",politics,1,,,
29,"united,states",united states,,1,,
29,"country,countries",country,1,,,
29,"country[country, countries],nations",nation,,,1,
29,"israeli,israel",israel,1,,,
29,,palestine,,,,
29,"palestinian,palestine",palestine,1,,,
29,"china,israeli,chinese,israel,european,palestinian,russia,united states",countries,,,1,
29,"countries,country,nations",Nations,,,1,
29,"states,Nations[countries, country, nations]",Nations,,,1,
29,"nations,states,country,countries",Nations,,,1,
30,"world,history",world history,,1,,
30,"anti,communist",anti communist,,1,,
30,"secret,war",secret war,,1,,
30,"jewish,jews",Judiaism,,,1,
30,"war,history,holocaust",historical,,,1,
30,"war,history,holocaust,century",events,,,1,
30,"space,earth",cosmos,,,1,
30,"history,world,earth,years,holocaust",history,,,1,
30,"church,jewish,jews,god",Religion,,,1,
,,,44,25,259,4
